State,SAIDI_WOM,Customers,TotalInterruption,StateSAIDIWithoutMED
AK,894.22,121391.0,26910738.34,221.68643754479328
AL,1844.799,1836604.0,208695519.335,113.63120157366531
AR,2036.99,1174183.0,243410958.48,207.30240386719956
AZ,483.926,2710235.0,150185374.112,55.4141519506611
CA,1404.409,14951084.0,1259761250.977,84.25885714888634
CO,1543.3,2031027.0,166829599.8,82.14051305078662
CT,383.8,365845.0,20215545.2,55.25713129877407
DC,124.0,261044.0,32369456.0,124.0
DE,349.0,395274.1,50892618.2,128.75272677870876
FL,5934.766,9650698.0,769089489.2019999,79.69262836760615
GA,2566.4939999999997,3916596.0,341059357.664,87.08055609105458
HI,330.0,450297.0,52339158.0,116.23252653248856
IA,2816.576,1376280.0,105675154.282,76.78317949981108
ID,1628.246,617389.0,106439495.764,172.40264365578267
IL,2281.4,5358703.0,450346733.0,84.04024873182932
IN,3728.7209999999995,2283509.0,243974076.00500003,106.84174049894264
KS,2288.832,1169403.0,130149017.318,111.29526546280452
KY,9078.8,2557730.0,373599835.74,146.06695614470644
LA,757.6,2175143.0,212183975.2,97.54943707149368
MA,559.153,2855364.0,237196782.29099995,83.07059355339632
MD,876.27,2437622.0,270223190.16,110.85524751581666
ME,14.89,768099.0,3200230.15,4.166429262373731
MI,2952.74,4562999.0,906041321.3199999,198.56268242004873
MN,4171.302,2392351.8,207072653.7722,86.55610507292448
MO,2071.829,2434968.0,213603879.887,87.7234854367696
MS,2255.58,1177493.9,137264507.62,116.57343415537017
MT,1110.8,449223.0,62431894.2,138.97751050146587
NC,3206.92,4481604.0,497248293.25,110.95319739316548
ND,689.0,187913.0,16552534.0,88.08615689175309
NE,1786.08,704104.0,37932168.019999996,53.87296197720791
NH,439.469,698029.0,85580627.057,122.60325438771169
NJ,328.0,1713946.0,211425325.0,123.35588460779978
NM,1321.0,842477.0,82772325.0,98.24876524819075
NV,124.0,1221914.0,62185130.0,50.89157665760438
NY,573.1320000000001,7886210.0,340142216.332,43.131265377411964
OH,3196.8619999999996,5031873.0,561878373.595,111.6638622626207
OK,1830.4,1591067.0,172798670.0,108.60552698283604
OR,2195.147,1730412.0,141389925.08200002,81.70882141478447
PA,1186.5,5774318.0,574271840.5,99.45275623891861
RI,57.28,485428.0,27805315.84,57.28
SC,1953.288,1959152.0,189598953.752,96.77603052341013
SD,11613.532,288659.0,49423572.882,171.21784833315434
TN,4090.815,2576516.8,240926419.10500002,93.50857681385972
TX,8685.82,11064887.0,1166872073.74,105.45720654354626
UT,605.818,944675.0,166538949.24599996,176.2923219583454
VA,1803.425,3549192.0,480601351.158,135.41148271437555
VT,6.0,266784.0,533718.0,2.000562252608852
WA,1934.165,3087193.0,299771501.929,97.1016395570345
WI,1352.021,2667861.3,200977804.94899997,75.33292864550342
WV,1519.26,995848.0,415898864.92,417.63287662374177
WY,817.012,227050.0,38412141.852,169.1792197841885
